character,dialogue,episode
LEIA,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my fathers request to you in person, but my ship has fallen under attack and Im afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, youre my only hope.",episode IV
BEN,You must learn the ways of the Force if youre to come with me to Alderaan.,episode IV
LUKE,"Alderaan  Im not going to Alderaan.  Ive got to go home.  Its late, Im in for it as it is.",episode IV
BEN,"I need your help, Luke.  Im getting too old for this sort of thing.She needs your help.",episode IV
LUKE,I cant get involved  Ive got work to do  Its not that I like the Empire.  I hate it  But theres nothing I can do about it right now.  Its such a long way from here.,episode IV
BEN,Thats your uncle talking.,episode IV
LUKE,"Oh, God, my uncle.  How am I ever going to explain this",episode IV
BEN,"Learn about the Force, Luke.",episode IV
LUKE,"Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever youre going.",episode IV
BEN,"You must do what you feel is right, of course.",episode IV
TAGGE,Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  Theyre more dangerous than you realize.,episode IV
MOTTI,"Dangerous to your starfleet, Commander not to this battle station",episode IV
TAGGE,The Rebellion will continue to gain support in the Imperial Senate as long as....,episode IV
TARKIN,The Imperial Senate will no longer be of any concern to us.  Ive just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away.,episode IV
TAGGE,Thats impossible  How will the Emperor maintain control without the bureaucracy,episode IV
TARKIN,The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station.,episode IV
TAGGE,"And what of the Rebellion  If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",episode IV
VADER,The plans you refer to will soon be back in our hands.,episode IV
MOTTI,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data theyve obtained.  This station is now the ultimate power in the universe.  I suggest we use it",episode IV
VADER,Dont be too proud of this technological terror youve constructed.  The ability to destroy a planet is insignificant next to the power of the Force.,episode IV
MOTTI,"Dont try to frighten us with your sorcerers ways, Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebels hidden fort...",episode IV
VADER,I find your lack of faith disturbing.,episode IV
TARKIN,"Enough of this  Vader, release him",episode IV
