character,dialogue,episode
HAN,Seventeen thousand  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.,episode IV
BEN,Youll have to sell your speeder.,episode IV
LUKE,Thats okay.  Im never coming back to this planet again.,episode IV
GREEDO,"Going somewhere, Solo",episode IV
HAN,"Yes, Greedo.  As a matter of fact, I was just going to see your boss.  Tell Jabba that Ive got his money.",episode IV
GREEDO,"Its too late.  You should have paid him when you had the chance.  Jabbas put a price on your head, so large that every bounty hunter in the galaxy will be looking for you.  Im lucky I found you first.",episode IV
HAN,"Yeah, but this time I got the money.",episode IV
GREEDO,"If you give it to me, I might forget I found you.",episode IV
HAN,I dont have it with me.  Tell Jabba...,episode IV
GREEDO,Jabbas through with you.  He has no time for smugglers who drop their shipments at the first sign of an Imperial cruiser.,episode IV
HAN,Even I get boarded sometimes.  Do you think I had a choice,episode IV
GREEDO,You can tell that to Jabba.  He may only take your ship.,episode IV
HAN,Over my dead body.,episode IV
GREEDO,Thats the idea Ive been looking forward to killing you for a long time.,episode IV
HAN,"Yes, Ill bet you have.",episode IV
HAN,Sorry about the mess.,episode IV
VADER,Her resistance to the mind probe is considerable.  It will be some time before we can extract any information from her.,episode IV
IMPERIAL OFFICER,The final check-out is complete.  All systems are operational.  What course shall we set,episode IV
TARKIN,Perhaps she would respond to an alternative form of persuasion.,episode IV
VADER,What do you mean,episode IV
TARKIN,I think it is time we demonstrate the full power of this station.Set your course for Princess Leias home planet of Alderaan.,episode IV
TROOPER,With pleasure.,episode IV
THREEPIO,"Lock the door, Artoo.",episode IV
TROOPER,"All right, check that side of the street.  Its secure.  Move on to the next door.",episode IV
THREEPIO,"I would much rather have gone with Master Luke than stay here with you.  I dont know what all this trouble is about, but Im sure it must be your fault.",episode IV
THREEPIO,You watch your language,episode IV
LUKE,"He says its the best he can do.  Since the XP-38 came out, they ",episode IV
BEN,It will be enough.,episode IV
BEN,"If the ships as fast as hes boasting, we ought to do well.",episode IV
JABBA,"Come on out, Solo",episode IV
HAN,"Ive been waiting for you, Jabba.",episode IV
JABBA,I expected you would be.,episode IV
HAN,Im not the type to run.,episode IV
JABBA,"Han, my boy, there are times when you disappoint me... why havent you paid me  And why did you have to fry poor Greedo like that... after all weve been through together.",episode IV
HAN,You sent Greedo to blast me.,episode IV
JABBA,"Han, why youre the best smuggler in the business.  Youre too valuable to fry.  He was only relaying my concern at your delays.  He wasnt going to blast you.",episode IV
HAN,"I think he thought he was.  Next time dont send one of those twerps.  If youve got something to say to me, come see me yourself.",episode IV
JABBA,"Han, Han  If only you hadnt had to dump that shipment of spice... you understand I just cant make an exception.  Where would I be if every pilot who smuggled for me dumped their shipment at the first sign of an Imperial starship  Its not good business.",episode IV
HAN,"You know, even I get boarded sometimes, Jabba.  I had no choice, but Ive gota charter now and I can pay you back, plus a little extra.  I just need some more time.",episode IV
JABBA,"Put your blasters away.  Han, my boy, Im only doing this because youre the best and I need you.  So, for an extra, say... twenty percent Ill give you a little more time... but this is it.  If you disappoint me again, Ill put a price on your head so large you wont be able to go near a civilized system for the rest of your short life.",episode IV
HAN,"Jabba, Ill pay you because its my pleasure.",episode IV
LUKE,What a piece of junk.,episode IV
HAN,"Shell make point five beyond the speed of light.  She may not look like much, but shes got it where it counts, kid.  Ive added some special modifications myself.",episode IV
HAN,"Were a little rushed, so if youll hurry aboard well get out of here.",episode IV
THREEPIO,"Hello, sir.",episode IV
TROOPER,Which way,episode IV
TROOPER,"All right, men.  Load your weapons",episode IV
TROOPER,Stop that ship,episode IV
TROOPER,Blast em,episode IV
HAN,"Chewie, get us out of here",episode IV
THREEPIO,"Oh, my.  Id forgotten how much I hate space travel.",episode IV
HAN,It looks like an Imperial cruiser.  Our passengers must be hotter than I thought.  Try and hold them off.  Angle the deflector shield while I make the calculations for the jump to light speed.,episode IV
HAN,Stay sharp  There are two more coming in theyre going to try to cut us off.,episode IV
LUKE,Why dont you outrun them  I thought you said this thing was fast.,episode IV
HAN,"Watch your mouth, kid, or youre going to find yourself floating home.  Well be safe enough once we make the jump to hyperspace.  Besides, I know a few maneuvers. Well lose them",episode IV
HAN,Heres where the fun begins,episode IV
BEN,How long before you can make the jump to light speed,episode IV
HAN,Itll take a few moments to get the coordinates from the navi-computer.,episode IV
LUKE,Are you kidding  At the rate theyre gaining...,episode IV
HAN,"Traveling through hyperspace isnt like dusting crops, boy  Without precise calculations we could fly right through a star or bounce too close to a supernova and thatd end your trip real quick, wouldnt it",episode IV
LUKE,Whats that flashing,episode IV
HAN,"Were losing our deflector shield.  Go strap yourself in, Im going to make the jump to light speed.",episode IV
MOTTI,Weve entered the Alderaan system.,episode IV
LEIA,"Governor Tarkin, I should have expected to find you holding Vaders leash.  I recognized your foul stench when I was brought on board.",episode IV
TARKIN,Charming to the last.  You dont know how hard I found it signing the order to terminate your life,episode IV
LEIA,to take the responsibility yourself,episode IV
TARKIN,"Princess Leia, before your execution I would like you to be my guest at a ceremony that will make this battle station operational.  No star system will dare oppose the Emperor now.",episode IV
LEIA,"The more you tighten your grip, Tarkin, the more star systems will slip through your fingers.",episode IV
TARKIN,"Not after we demonstrate the power of this station.  In a way, you have determined the choice of the planet thatll be destroyed first.  Since you are reluctant to provide us with the location of the Rebel base, I have chosen to test this stations destructive power... on your home planet of Alderaan.",episode IV
LEIA,No  Alderaan is peaceful.  We have no weapons.  You cant possibly...,episode IV
TARKIN,You would prefer another target  A military target  Then name the system,episode IV
TARKIN,I grow tired of asking this.  So itll be the last time.  Where is the Rebel base,episode IV
LEIA,Dantooine.,episode IV
LEIA,Theyre on Dantooine.,episode IV
TARKIN,"There.  You see Lord Vader, she can be reasonable. Continue with the operation.  You may fire when ready.",episode IV
LEIA,What,episode IV
TARKIN,Youre far too trusting.  Dantooine is too remote to make an effective demonstration.  But dont worry.  We will deal with your Rebel friends soon enough. ,episode IV
LEIA,No,episode IV
VADER,Commence primary ignition.,episode IV
LUKE,Are you all right  Whats wrong,episode IV
BEN,I felt a great disturbance in the Force... as if millions of voices suddenly cried out in terror and were suddenly silenced.  I fear something terrible has happened.,episode IV
BEN,Youd better get on with your exercises.,episode IV
HAN,"Well, you can forget your troubles with those Imperial slugs.  I told you Id outrun em.",episode IV
HAN,Dont everyone thank me at once.,episode IV
HAN,"Anyway, we should be at Alderaan about oh-two-hundred hours.",episode IV
THREEPIO,"Now be careful, Artoo.",episode IV
THREEPIO,He made a fair move.  Screaming about it wont help you.,episode IV
HAN,Let him have it. Its not wise to upset a Wookiee.,episode IV
THREEPIO,"But sir, nobody worries about upsetting a droid.",episode IV
HAN,Thats cause droids dont pull peoples arms out of their socket when they lose.  Wookiees are known to do that.,episode IV
THREEPIO,"I see your point, sir.  I suggest a new strategy, Artoo.  Let the Wookiee win.",episode IV
BEN,"Remember, a Jedi can feel the Force flowing through him.",episode IV
LUKE,You mean it controls your actions,episode IV
BEN,Partially. But it also obeys your commands.,episode IV
HAN,"Hokey religions and ancient weapons are no match for a good blaster at your side, kid.",episode IV
LUKE,"You dont believe in the Force, do you",episode IV
HAN,"Kid, Ive flown from one side of this galaxy to the other.  Ive seen a lot of strange stuff, but Ive never seen anything to make me believe theres one all-powerful force controlling everything.  Theres no mystical energy field that controls my destiny.",episode IV
HAN,Its all a lot of simple tricks and nonsense.,episode IV
BEN,"I suggest you try it again, Luke.",episode IV
BEN,"This time, let go your conscious self and act on instinct.",episode IV
LUKE,"With the blast shield down, I cant even see.  How am I supposed to fight",episode IV
BEN,Your eyes can deceive you.  Dont trust them.,episode IV
BEN,Stretch out with your feelings.,episode IV
BEN,"You see, you can do it.",episode IV
HAN,I call it luck. ,episode IV
BEN,"In my experience, theres no such thing as luck.",episode IV
HAN,"Look, going good against remotes is one thing.  Going good against the living  Thats something else.",episode IV
HAN,Looks like were coming up on Alderaan.,episode IV
LUKE,"You know, I did feel something.  I could almost see the remote.",episode IV
BEN,Thats good.  You have taken your first step into a larger world.,episode IV
TARKIN,Yes.,episode IV
OFFICER CASS,"Our scout ships have reached Dantooine.  They found the remains of a Rebel base, but they estimate that it has been deserted for some time.  They are now conducting an extensive search of the surrounding systems.",episode IV
TARKIN,She lied  She lied to us,episode IV
VADER,I told you she would never consciously betray the Rebellion.,episode IV
TARKIN,Terminate her... immediately,episode IV
HAN,"Stand by, Chewie, here we go.  Cut in the sublight engines.",episode IV
HAN,"What the...  Aw, weve come out of hyperspace into a meteor shower.  Some kind of asteroid collision.  Its not on any of the charts.",episode IV
LUKE,Whats going on,episode IV
HAN,"Our position is correct, except... no, Alderaan",episode IV
LUKE,What do you mean  Where is it,episode IV
HAN,"Thats what Im trying to tell you, kid.  It aint there.  Its been totally blown away.",episode IV
LUKE,What  How,episode IV
BEN,Destroyed... by the Empire,episode IV
HAN,The entire starfleet couldnt destroy the whole planet.  Itd take a thousand ships with more fire power than Ive...,episode IV
HAN,Theres another ship coming in.,episode IV
LUKE,Maybe they know what happened.,episode IV
BEN,Its an Imperial fighter.,episode IV
LUKE,It followed us,episode IV
BEN,No.  Its a short range fighter.,episode IV
